date;pluvio
01.08.2018 00:00;0.0
02.08.2018 18:30;1.3
02.08.2018 18:40;1.9
02.08.2018 18:50;0.6
05.08.2018 00:50;2.3
05.08.2018 01:00;3.8
05.08.2018 01:10;0.1
08.08.2018 15:00;0.8
08.08.2018 15:10;0.5
08.08.2018 15:30;0.3
08.08.2018 16:10;0.3
13.08.2018 20:50;0.3
13.08.2018 21:00;0.1
17.08.2018 23:20;0.1
17.08.2018 23:30;2.6
17.08.2018 23:40;3.1
17.08.2018 23:50;2.3
18.08.2018 00:00;2.7
18.08.2018 00:10;1.7
18.08.2018 00:20;0.7
18.08.2018 00:30;1.0
18.08.2018 00:40;0.2
18.08.2018 03:50;0.1
18.08.2018 05:30;0.1
21.08.2018 07:00;0.2
21.08.2018 07:10;0.1
21.08.2018 09:10;0.2
23.08.2018 23:40;0.1
24.08.2018 15:30;0.1
24.08.2018 15:40;0.1
30.08.2018 06:50;0.1
30.08.2018 07:00;0.1
30.08.2018 07:10;0.1
30.08.2018 07:20;0.2
30.08.2018 07:30;0.1
30.08.2018 07:40;0.1
30.08.2018 07:50;0.1
30.08.2018 08:00;0.2
30.08.2018 08:10;0.2
30.08.2018 08:20;0.1
30.08.2018 09:00;0.5
30.08.2018 09:10;4.4
30.08.2018 09:20;1.2
30.08.2018 09:30;0.6
30.08.2018 09:40;0.5
30.08.2018 09:50;0.3
30.08.2018 10:10;0.1
30.08.2018 10:20;0.1
30.08.2018 10:30;0.1
30.08.2018 10:40;0.2
30.08.2018 10:50;0.2
30.08.2018 11:00;0.3
30.08.2018 11:10;0.1
30.08.2018 11:30;0.1
30.08.2018 11:50;0.2
30.08.2018 12:00;0.1
30.08.2018 12:10;0.1
30.08.2018 15:10;0.1
30.08.2018 15:30;0.5
30.08.2018 20:20;1.1
30.08.2018 20:30;0.2
30.08.2018 20:50;0.1
30.08.2018 22:00;0.1
30.08.2018 22:10;0.2
30.08.2018 22:30;0.1
01.09.2018 19:40;0.1
01.09.2018 19:50;0.1
01.09.2018 20:00;0.1
01.09.2018 20:10;0.1
01.09.2018 20:30;0.1
01.09.2018 20:40;0.2
01.09.2018 20:50;0.2
01.09.2018 21:00;0.1
01.09.2018 21:10;0.2
01.09.2018 21:20;0.1
01.09.2018 21:30;0.1
01.09.2018 21:40;0.1
01.09.2018 21:50;0.1
01.09.2018 22:30;0.3
01.09.2018 22:40;0.2
01.09.2018 22:50;0.2
01.09.2018 23:00;0.1
01.09.2018 23:10;0.2
01.09.2018 23:20;0.1
01.09.2018 23:40;0.1
02.09.2018 00:20;0.1
02.09.2018 00:30;0.1
02.09.2018 00:50;0.1
02.09.2018 04:50;0.4
02.09.2018 05:00;0.4
02.09.2018 05:10;0.3
02.09.2018 05:20;0.2
02.09.2018 05:30;0.1
02.09.2018 05:40;0.2
02.09.2018 05:50;0.1
02.09.2018 06:00;0.1
02.09.2018 06:10;0.1
02.09.2018 06:20;0.1
02.09.2018 06:30;0.2
02.09.2018 06:40;0.3
02.09.2018 06:50;0.1
02.09.2018 07:10;0.1
02.09.2018 07:30;0.1
02.09.2018 07:40;0.2
02.09.2018 07:50;0.2
02.09.2018 08:00;0.1
02.09.2018 21:20;0.2
02.09.2018 21:30;0.1
03.09.2018 12:40;0.1
07.09.2018 07:10;0.1
07.09.2018 07:20;0.1
07.09.2018 08:30;0.1
07.09.2018 08:40;0.3
07.09.2018 08:50;0.1
07.09.2018 09:10;0.1
07.09.2018 11:40;0.4
07.09.2018 11:50;4.6
07.09.2018 12:00;0.4
07.09.2018 20:10;0.5
07.09.2018 20:20;0.1
07.09.2018 22:20;0.1
13.09.2018 13:10;0.2
13.09.2018 13:20;0.3
13.09.2018 13:30;0.5
13.09.2018 13:40;1.4
13.09.2018 13:50;0.1
14.09.2018 06:50;0.1
21.09.2018 18:00;0.4
21.09.2018 18:10;0.2
21.09.2018 19:40;0.4
23.09.2018 12:10;0.1
23.09.2018 12:20;0.1
23.09.2018 13:00;0.1
23.09.2018 14:30;0.1
23.09.2018 14:40;0.6
23.09.2018 14:50;0.6
23.09.2018 15:00;0.7
23.09.2018 15:10;0.4
23.09.2018 15:20;0.1
23.09.2018 17:00;0.3
23.09.2018 17:10;0.3
23.09.2018 17:20;1.7
23.09.2018 17:30;5.4
23.09.2018 17:40;6.6
23.09.2018 17:50;0.9
23.09.2018 18:00;0.8
23.09.2018 18:10;0.9
23.09.2018 18:20;0.8
23.09.2018 18:30;0.7
23.09.2018 18:40;0.1
23.09.2018 19:20;0.4
23.09.2018 19:30;0.4
23.09.2018 19:40;0.1
23.09.2018 19:50;0.2
23.09.2018 20:00;0.1
23.09.2018 20:10;0.1
23.09.2018 20:20;0.2
23.09.2018 20:30;0.3
23.09.2018 20:40;0.4
23.09.2018 20:50;0.4
23.09.2018 21:00;0.4
23.09.2018 21:10;0.2
23.09.2018 21:20;0.2
23.09.2018 21:40;0.2
23.09.2018 21:50;0.1
23.09.2018 22:00;0.1
23.09.2018 22:10;0.4
23.09.2018 22:20;0.2
23.09.2018 22:30;0.1
23.09.2018 22:40;0.1
23.09.2018 22:50;0.3
23.09.2018 23:00;0.1
23.09.2018 23:10;0.1
23.09.2018 23:20;0.2
23.09.2018 23:30;0.1
23.09.2018 23:40;0.1
23.09.2018 23:50;0.1
24.09.2018 00:00;0.3
24.09.2018 00:10;0.2
24.09.2018 00:20;0.1
24.09.2018 00:30;0.1
28.09.2018 12:20;0.1
28.09.2018 12:30;0.1
28.09.2018 12:50;0.1
28.09.2018 13:00;0.1
28.09.2018 13:10;0.1
28.09.2018 13:20;0.1
28.09.2018 13:30;0.1
01.10.2018 16:20;0.1
01.10.2018 16:50;0.1
02.10.2018 04:20;0.2
02.10.2018 04:30;0.3
02.10.2018 04:50;0.1
02.10.2018 06:10;0.1
02.10.2018 06:20;0.1
02.10.2018 07:10;0.1
02.10.2018 07:20;0.1
19.10.2018 02:40;0.1
22.10.2018 15:20;0.1
22.10.2018 15:30;0.2
22.10.2018 15:40;0.2
22.10.2018 15:50;0.1
22.10.2018 16:00;0.1
22.10.2018 16:40;0.1
22.10.2018 17:00;0.1
23.10.2018 12:30;0.2
23.10.2018 12:40;0.2
23.10.2018 12:50;0.1
23.10.2018 20:00;0.1
23.10.2018 20:10;0.1
23.10.2018 20:20;0.1
23.10.2018 20:30;0.1
23.10.2018 20:50;0.1
23.10.2018 21:00;0.2
23.10.2018 21:10;0.1
23.10.2018 21:20;0.1
23.10.2018 21:30;0.1
23.10.2018 21:40;0.1
23.10.2018 21:50;0.1
23.10.2018 22:00;0.2
23.10.2018 22:20;0.1
23.10.2018 22:30;0.1
23.10.2018 22:40;0.1
23.10.2018 22:50;0.1
23.10.2018 23:00;0.1
23.10.2018 23:10;0.1
23.10.2018 23:20;0.1
23.10.2018 23:30;0.2
23.10.2018 23:40;0.2
23.10.2018 23:50;0.5
24.10.2018 00:00;0.3
24.10.2018 00:10;0.2
24.10.2018 00:20;0.2
24.10.2018 00:30;0.2
24.10.2018 00:40;0.1
24.10.2018 00:50;0.2
24.10.2018 01:00;0.2
24.10.2018 01:10;0.2
24.10.2018 01:20;0.2
24.10.2018 01:30;0.3
24.10.2018 01:40;0.1
24.10.2018 01:50;0.2
24.10.2018 02:00;0.1
24.10.2018 02:10;0.1
24.10.2018 02:20;0.1
24.10.2018 02:40;0.2
24.10.2018 02:50;0.5
24.10.2018 03:00;0.2
24.10.2018 03:10;0.4
24.10.2018 03:20;1.0
24.10.2018 03:30;0.8
24.10.2018 03:40;2.0
24.10.2018 03:50;1.4
24.10.2018 04:00;2.1
24.10.2018 04:10;0.4
24.10.2018 04:20;0.1
24.10.2018 04:30;1.1
24.10.2018 04:40;2.2
24.10.2018 04:50;1.5
24.10.2018 05:00;0.5
24.10.2018 05:10;0.2
24.10.2018 05:20;0.1
24.10.2018 05:30;0.1
24.10.2018 05:40;0.1
24.10.2018 05:50;0.5
24.10.2018 06:00;0.9
24.10.2018 06:10;0.2
24.10.2018 06:20;0.1
24.10.2018 07:10;0.1
24.10.2018 07:20;0.2
24.10.2018 07:30;0.2
24.10.2018 07:40;0.5
24.10.2018 07:50;0.1
24.10.2018 08:00;0.2
24.10.2018 08:10;0.2
24.10.2018 08:20;0.3
24.10.2018 08:30;0.1
24.10.2018 23:40;0.1
25.10.2018 00:10;0.1
25.10.2018 00:20;0.1
25.10.2018 00:30;0.1
25.10.2018 00:50;0.1
25.10.2018 01:30;0.1
25.10.2018 01:40;0.1
25.10.2018 01:50;0.1
25.10.2018 02:10;0.1
25.10.2018 02:20;0.1
25.10.2018 04:40;0.1
28.10.2018 14:00;0.2
28.10.2018 14:20;0.1
28.10.2018 14:30;0.1
28.10.2018 14:40;0.3
28.10.2018 14:50;0.3
28.10.2018 15:00;0.3
28.10.2018 15:10;0.4
28.10.2018 15:20;0.3
28.10.2018 15:30;0.4
28.10.2018 15:40;0.6
28.10.2018 15:50;0.4
28.10.2018 16:00;0.3
28.10.2018 16:10;0.6
28.10.2018 16:20;0.4
28.10.2018 16:30;0.5
28.10.2018 16:40;0.5
28.10.2018 16:50;0.7
28.10.2018 17:00;0.6
28.10.2018 17:10;0.4
28.10.2018 17:20;0.5
28.10.2018 17:30;0.5
28.10.2018 17:40;0.3
28.10.2018 17:50;0.4
28.10.2018 18:00;0.4
28.10.2018 18:10;0.4
28.10.2018 18:20;0.5
28.10.2018 18:30;0.4
28.10.2018 18:40;0.3
28.10.2018 18:50;0.4
28.10.2018 19:00;0.2
28.10.2018 19:10;0.2
28.10.2018 19:20;0.2
28.10.2018 19:30;0.1
28.10.2018 19:40;0.1
28.10.2018 20:00;0.1
28.10.2018 21:20;0.1
28.10.2018 21:40;0.2
28.10.2018 21:50;0.2
28.10.2018 22:00;0.1
28.10.2018 22:10;0.2
28.10.2018 22:20;0.1
28.10.2018 22:30;0.1
28.10.2018 22:40;0.2
28.10.2018 22:50;0.1
28.10.2018 23:10;0.1
28.10.2018 23:20;0.1
28.10.2018 23:30;0.1
28.10.2018 23:50;0.1
29.10.2018 00:00;0.1
29.10.2018 00:20;0.1
29.10.2018 00:50;0.1
29.10.2018 01:20;0.2
29.10.2018 01:30;0.2
29.10.2018 01:40;0.2
29.10.2018 01:50;0.1
29.10.2018 02:00;0.2
29.10.2018 02:20;0.1
13.11.2018 11:00;0.1
13.11.2018 11:10;0.1
13.11.2018 11:20;0.1
13.11.2018 11:30;0.2
13.11.2018 11:40;0.2
13.11.2018 11:50;0.3
13.11.2018 12:00;0.1
13.11.2018 14:20;0.4
13.11.2018 14:30;0.2
13.11.2018 14:40;0.1
13.11.2018 14:50;0.1
13.11.2018 20:00;0.3
13.11.2018 20:10;0.6
13.11.2018 20:20;0.7
13.11.2018 20:30;0.6
13.11.2018 20:40;0.2
19.11.2018 00:20;0.2
19.11.2018 00:30;0.3
19.11.2018 00:50;0.2
19.11.2018 01:00;0.1
19.11.2018 01:10;0.1
19.11.2018 01:50;0.1
19.11.2018 02:40;0.1
28.11.2018 10:50;0.1
30.11.2018 14:30;0.2
30.11.2018 14:40;0.2
30.11.2018 14:50;0.2
30.11.2018 15:00;0.2
30.11.2018 15:10;0.2
30.11.2018 15:20;0.2
30.11.2018 15:30;0.1
30.11.2018 15:40;0.1
30.11.2018 15:50;0.1
30.11.2018 16:00;0.1
30.11.2018 16:10;0.2
30.11.2018 16:20;0.2
30.11.2018 16:30;0.2
30.11.2018 16:40;0.2
30.11.2018 16:50;0.2
30.11.2018 17:00;0.2
30.11.2018 17:10;0.1
30.11.2018 17:20;0.2
30.11.2018 17:30;0.1
30.11.2018 17:40;0.1
30.11.2018 18:00;0.1
30.11.2018 18:20;0.1
30.11.2018 18:30;0.1
30.11.2018 18:50;0.1
30.11.2018 19:00;0.1
30.11.2018 19:10;0.1
30.11.2018 19:20;0.1
30.11.2018 19:30;0.1
30.11.2018 19:40;0.2
30.11.2018 19:50;0.1
30.11.2018 20:00;0.1
30.11.2018 20:10;0.1
30.11.2018 20:20;0.1
30.11.2018 20:30;0.1
30.11.2018 20:40;0.2
30.11.2018 20:50;0.1
30.11.2018 21:00;0.1
30.11.2018 21:10;0.1
30.11.2018 21:20;0.1
30.11.2018 21:30;0.1
30.11.2018 21:40;0.1
30.11.2018 21:50;0.1
30.11.2018 22:10;0.1
30.11.2018 22:20;0.1
30.11.2018 22:30;0.1
30.11.2018 22:40;0.1
30.11.2018 22:50;0.1
30.11.2018 23:00;0.1
30.11.2018 23:20;0.1
30.11.2018 23:40;0.1
30.11.2018 23:50;0.1
01.12.2018 00:00;0.1
01.12.2018 00:10;0.1
01.12.2018 00:20;0.1
01.12.2018 00:30;0.2
01.12.2018 00:40;0.2
01.12.2018 00:50;0.1
01.12.2018 01:00;0.1
01.12.2018 01:20;0.1
02.12.2018 12:30;0.2
02.12.2018 12:40;0.1
02.12.2018 16:20;0.2
02.12.2018 16:40;0.1
02.12.2018 16:50;0.1
02.12.2018 17:00;0.1
02.12.2018 17:10;0.2
02.12.2018 17:20;0.3
02.12.2018 17:30;0.1
02.12.2018 17:40;0.2
02.12.2018 17:50;0.2
02.12.2018 18:00;0.2
02.12.2018 18:10;0.1
02.12.2018 18:20;0.2
02.12.2018 18:30;0.1
02.12.2018 19:50;0.2
02.12.2018 20:00;0.4
02.12.2018 20:10;0.1
02.12.2018 21:00;0.2
02.12.2018 21:20;0.1
03.12.2018 05:40;0.2
03.12.2018 05:50;0.2
03.12.2018 06:20;0.2
03.12.2018 06:30;0.1
03.12.2018 07:20;0.1
03.12.2018 07:40;0.1
03.12.2018 07:50;0.2
03.12.2018 15:20;0.1
03.12.2018 15:40;0.1
04.12.2018 03:50;0.2
04.12.2018 04:00;0.2
04.12.2018 04:10;0.2
04.12.2018 05:10;0.1
04.12.2018 05:20;0.1
04.12.2018 05:40;0.1
04.12.2018 06:10;0.3
04.12.2018 06:30;0.1
04.12.2018 10:40;0.2
04.12.2018 15:30;0.7
04.12.2018 15:40;0.3
07.12.2018 09:50;0.1
07.12.2018 11:20;0.1
07.12.2018 11:30;0.1
07.12.2018 11:40;0.3
07.12.2018 18:40;0.2
07.12.2018 18:50;0.3
07.12.2018 19:00;0.3
07.12.2018 19:10;0.3
07.12.2018 19:20;0.1
07.12.2018 19:30;0.1
07.12.2018 19:40;0.1
07.12.2018 19:50;0.2
08.12.2018 01:30;0.2
08.12.2018 01:40;0.1
08.12.2018 02:00;0.1
08.12.2018 16:10;0.2
08.12.2018 16:20;0.2
08.12.2018 16:30;0.1
09.12.2018 01:00;0.4
09.12.2018 01:10;0.2
09.12.2018 01:20;0.1
09.12.2018 01:30;0.1
09.12.2018 02:10;0.1
09.12.2018 05:10;0.1
09.12.2018 06:00;0.1
09.12.2018 06:40;0.2
09.12.2018 06:50;0.2
09.12.2018 07:00;0.1
09.12.2018 07:10;0.1
09.12.2018 07:30;0.1
09.12.2018 07:40;0.1
09.12.2018 07:50;0.2
09.12.2018 09:10;0.1
09.12.2018 09:20;0.2
09.12.2018 09:30;0.2
09.12.2018 09:40;0.2
09.12.2018 09:50;0.4
09.12.2018 10:00;0.2
09.12.2018 10:10;0.1
09.12.2018 10:30;0.1
09.12.2018 12:30;0.1
09.12.2018 13:10;0.1
09.12.2018 13:30;0.1
09.12.2018 13:40;0.1
09.12.2018 13:50;0.1
09.12.2018 14:00;0.1
09.12.2018 20:10;0.1
09.12.2018 20:20;0.1
09.12.2018 23:20;0.1
10.12.2018 01:50;0.1
10.12.2018 05:00;0.1
10.12.2018 05:10;0.1
10.12.2018 05:30;0.2
10.12.2018 05:40;0.1
10.12.2018 05:50;0.1
10.12.2018 06:00;0.1
10.12.2018 06:10;0.1
10.12.2018 06:20;0.2
10.12.2018 06:30;0.1
10.12.2018 07:20;0.1
10.12.2018 07:40;0.1
10.12.2018 08:00;0.5
10.12.2018 08:10;0.3
10.12.2018 10:40;0.1
10.12.2018 10:50;0.2
10.12.2018 14:20;0.1
10.12.2018 17:20;0.1
10.12.2018 17:30;0.1
10.12.2018 19:20;0.1
10.12.2018 19:50;0.1
10.12.2018 20:00;0.1
10.12.2018 21:20;0.1
10.12.2018 21:30;0.1
10.12.2018 21:50;0.1
11.12.2018 00:10;0.1
11.12.2018 00:20;0.1
11.12.2018 00:40;0.3
11.12.2018 00:50;0.1
11.12.2018 01:50;0.1
11.12.2018 02:10;0.1
11.12.2018 05:30;0.1
11.12.2018 05:40;0.1
11.12.2018 06:00;0.1
11.12.2018 06:50;0.1
11.12.2018 07:10;0.1
11.12.2018 07:30;0.1
11.12.2018 07:50;0.2
11.12.2018 08:00;0.2
11.12.2018 08:10;0.4
11.12.2018 08:20;0.5
11.12.2018 08:30;0.4
11.12.2018 08:40;0.4
11.12.2018 08:50;0.4
11.12.2018 09:00;0.3
11.12.2018 09:10;0.3
11.12.2018 09:20;0.3
11.12.2018 09:30;0.2
11.12.2018 09:40;0.2
11.12.2018 09:50;0.2
11.12.2018 10:00;0.2
11.12.2018 10:10;0.2
11.12.2018 10:20;0.3
11.12.2018 10:30;0.2
11.12.2018 10:40;0.2
11.12.2018 10:50;0.3
11.12.2018 11:00;0.2
11.12.2018 11:10;0.3
11.12.2018 11:20;0.2
11.12.2018 11:30;0.1
11.12.2018 11:40;0.1
11.12.2018 11:50;0.1
11.12.2018 13:10;0.1
11.12.2018 13:20;0.1
11.12.2018 13:30;0.3
11.12.2018 13:40;0.1
11.12.2018 14:00;0.1
11.12.2018 14:10;0.1
11.12.2018 14:30;0.1
11.12.2018 15:00;0.1
11.12.2018 15:20;0.1
11.12.2018 16:00;0.2
11.12.2018 16:10;0.2
11.12.2018 16:20;0.1
11.12.2018 16:30;0.1
11.12.2018 16:50;0.1
11.12.2018 17:00;0.1
11.12.2018 17:10;0.1
11.12.2018 17:20;0.1
11.12.2018 17:30;0.2
11.12.2018 17:40;0.1
11.12.2018 17:50;0.2
11.12.2018 18:00;0.2
11.12.2018 18:10;0.2
11.12.2018 18:20;0.5
11.12.2018 18:30;0.3
11.12.2018 18:40;0.2
11.12.2018 18:50;0.2
11.12.2018 19:00;0.3
11.12.2018 19:10;0.1
11.12.2018 19:20;0.2
11.12.2018 19:30;0.2
11.12.2018 19:40;0.2
11.12.2018 19:50;0.1
11.12.2018 20:00;0.2
11.12.2018 20:10;0.1
11.12.2018 20:20;0.1
11.12.2018 20:30;0.1
11.12.2018 20:40;0.1
11.12.2018 20:50;0.1
11.12.2018 21:00;0.1
11.12.2018 21:20;0.1
11.12.2018 21:30;0.1
11.12.2018 21:40;0.1
11.12.2018 21:50;0.2
11.12.2018 22:00;0.1
11.12.2018 22:10;0.1
11.12.2018 22:20;0.2
11.12.2018 22:30;0.2
11.12.2018 22:40;0.2
11.12.2018 22:50;0.1
11.12.2018 23:00;0.4
11.12.2018 23:10;0.4
11.12.2018 23:20;0.5
11.12.2018 23:30;0.1
11.12.2018 23:40;0.1
12.12.2018 00:00;0.1
12.12.2018 03:20;0.2
12.12.2018 03:30;0.2
12.12.2018 03:40;0.1
12.12.2018 04:40;0.2
12.12.2018 04:50;0.1
12.12.2018 05:00;0.1
12.12.2018 05:20;0.1
12.12.2018 06:30;0.1
12.12.2018 07:30;0.1
12.12.2018 07:40;0.1
12.12.2018 09:30;0.3
12.12.2018 09:40;0.1
19.12.2018 10:50;0.1
19.12.2018 21:00;0.1
19.12.2018 23:00;0.1
19.12.2018 23:40;0.1
19.12.2018 23:50;0.2
20.12.2018 00:00;0.1
20.12.2018 00:20;0.1
20.12.2018 01:40;0.1
20.12.2018 02:00;0.2
20.12.2018 02:10;0.1
20.12.2018 02:20;0.1
20.12.2018 02:30;0.1
20.12.2018 02:40;0.1
20.12.2018 02:50;0.3
20.12.2018 03:00;0.2
20.12.2018 03:10;0.2
20.12.2018 03:20;0.3
20.12.2018 03:30;0.1
20.12.2018 03:50;0.1
20.12.2018 04:00;0.1
20.12.2018 04:10;0.1
20.12.2018 04:20;0.1
20.12.2018 04:30;0.1
20.12.2018 04:40;0.1
20.12.2018 04:50;0.2
